contamination,query_genus,target_genus,,I# query,I# target,query_seq,target_seq,,%similar,length of match (bp),tlength,qlength,mismatch,gapopen, qstart ,qend ,,tstart ,tend ,,evalue,note
2,Ablerus,Merostenus,,I26415,I27417,L19_MERG00054_0101_SUPERCONTIG,L18_MERG00149_0101_SUPERCONTIG,.,95.87,121,873,305,5,0,3,123,,700,820,,4.00E-49,betweenloci
7,Ablerus,Micradelus,,I26415,I24035,L187_MERG00054_0101_SUPERCONTIG,L971_MERG00298_0101_SUPERCONTIG,.,100.00,71,586,2569,0,0,1749,1819,,1,71,,1.00E-28,betweenloci
7,Ablerus,Micradelus,,I26415,I24035,L111_MERG00054_0101_SUPERCONTIG,L210_MERG00298_0101_SUPERCONTIG,.,98.65,74,425,473,0,1,401,473,,350,423,,7.00E-29,betweenloci
2,Ablerus,Neochalcis,,I23976,I23981,L420_MERG00052_0101_SUPERCONTIG,L421_MERG00072_0101_SUPERCONTIG,.,96.05,152,844,304,5,1,154,304,,154,305,,4.00E-64,betweenloci
7,Ablerus,Orasema,,I26407,I21723,L420_MERG00053_0101_SUPERCONTIG,L421_MERG00108_0101_SUPERCONTIG,.,95.15,165,1349,726,8,0,178,342,,272,436,,4.00E-68,betweenloci
10,Ablerus,Ormyromorpha,,I26415,I21946,L420_MERG00054_0101_SUPERCONTIG,L420_MERG00261_0101_SUPERCONTIG,.,96.20,158,1244,434,6,0,221,378,,538,695,,7.00E-71,withinloci
x,Ablerus,Ormyrus,,I23976,I21664,L1021_MERG00052_0101_SUPERCONTIG,L1021_MERG00210_0101_SUPERCONTIG,.,95.15,103,101,517,3,2,195,297,,1,101,,2.00E-41,withinloci
2,Ablerus,Parastethynium,,I23976,I28971,L517_MERG00052_0101_SUPERCONTIG,L205_MERG00204_0101_SUPERCONTIG,.,100.00,62,382,343,0,0,282,343,,315,376,,1.00E-24,betweenloci
7,Ablerus,Perilampus,,I26415,I12630,L1021_MERG00054_0101_SUPERCONTIG,L1022_MERG00220_0101_SUPERCONTIG,.,96.00,100,1170,471,4,0,154,253,,6,105,,7.00E-39,betweenloci
7,Ablerus,Torymoides,,I23976,I26413,L1009_MERG00052_0101_SUPERCONTIG,L321_MERG00386_0101_SUPERCONTIG,.,95.95,74,966,469,3,0,190,263,,853,926,,4.00E-26,betweenloci
1,Acanthochalcis,Ablerus,,I23977,I23976,L909_MERG00055_0101_SUPERCONTIG,L909_MERG00052_0101_SUPERCONTIG,.,100.00,295,295,629,0,0,152,446,,1,295,,5.00E-157,withinloci
7,Acanthochalcis,Asparagobius,,I23977,I29050,L914_MERG00055_0101_SUPERCONTIG,L915_MERG00312_0101_SUPERCONTIG,.,95.49,244,766,540,11,0,240,483,,12,255,,3.00E-107,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L1014_MERG00055_0101_SUPERCONTIG,L1015_MERG00061_0101_SUPERCONTIG,.,96.25,267,1069,834,10,0,568,834,,1,267,,2.00E-121,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L1036_MERG00055_0101_SUPERCONTIG,L1037_MERG00061_0101_SUPERCONTIG,.,96.55,87,1383,1443,3,0,1349,1435,,594,508,,8.00E-33,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L11_MERG00055_0101_SUPERCONTIG,L10_MERG00061_0101_SUPERCONTIG,.,96.39,83,1085,710,3,0,1,83,,590,672,,6.00E-31,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L146_MERG00055_0101_SUPERCONTIG,L145_MERG00061_0101_SUPERCONTIG,.,95.59,749,1101,852,33,0,1,749,,351,1099,,0.0,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L376_MERG00055_0101_SUPERCONTIG,L377_MERG00061_0101_SUPERCONTIG,.,95.42,393,4640,2218,18,0,1524,1916,,1,393,,1.00E-177,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L376_MERG00055_0101_SUPERCONTIG,L377_MERG00061_0101_SUPERCONTIG,.,95.42,393,4640,2218,18,0,1524,1916,,2321,2713,,1.00E-177,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L421_MERG00055_0101_SUPERCONTIG,L422_MERG00061_0101_SUPERCONTIG,.,97.84,509,1138,739,11,0,231,739,,249,757,,0.0,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L422_MERG00055_0101_SUPERCONTIG,L421_MERG00061_0101_SUPERCONTIG,.,97.49,517,939,792,13,0,24,540,,409,925,,0.0,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L75_MERG00055_0101_SUPERCONTIG,L76_MERG00061_0101_SUPERCONTIG,.,96.07,687,2532,1173,24,2,490,1173,,1267,1953,,0.0,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L75_MERG00055_0101_SUPERCONTIG,L76_MERG00061_0101_SUPERCONTIG,.,96.07,687,2532,1173,24,2,490,1173,,1,687,,0.0,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L76_MERG00055_0101_SUPERCONTIG,L75_MERG00061_0101_SUPERCONTIG,.,95.26,822,1410,2392,36,2,1197,2015,,589,1410,,0.0,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L76_MERG00055_0101_SUPERCONTIG,L75_MERG00061_0101_SUPERCONTIG,.,95.26,822,1410,2392,36,2,1,819,,589,1410,,0.0,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L810_MERG00055_0101_SUPERCONTIG,L811_MERG00061_0101_SUPERCONTIG,.,96.33,327,952,781,10,2,233,558,,1,326,,6.00E-151,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L928_MERG00055_0101_SUPERCONTIG,L929_MERG00061_0101_SUPERCONTIG,.,95.50,289,1027,836,13,0,270,558,,111,399,,1.00E-128,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L928_MERG00055_0101_SUPERCONTIG,L929_MERG00061_0101_SUPERCONTIG,.,97.16,176,1027,836,3,1,660,833,,406,581,,1.00E-78,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L929_MERG00055_0101_SUPERCONTIG,L928_MERG00061_0101_SUPERCONTIG,.,97.47,356,870,754,7,1,281,634,,515,870,,4.00E-172,betweenloci
4,Acanthochalcis,Cratocentrus,,I23977,I23233,L960_MERG00055_0101_SUPERCONTIG,L961_MERG00061_0101_SUPERCONTIG,.,96.23,531,855,822,20,0,292,822,,1,531,,0.0,betweenloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L1012_MERG00055_0101_SUPERCONTIG,L1012_MERG00061_0101_SUPERCONTIG,.,97.54,122,710,913,3,0,759,880,,589,710,,2.00E-55,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L11_MERG00055_0101_SUPERCONTIG,L11_MERG00061_0101_SUPERCONTIG,.,96.39,83,1091,710,3,0,1,83,,262,344,,6.00E-34,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L149_MERG00055_0101_SUPERCONTIG,L149_MERG00061_0101_SUPERCONTIG,.,95.42,131,971,855,6,0,693,823,,841,971,,2.00E-55,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L172_MERG00055_0101_SUPERCONTIG,L172_MERG00061_0101_SUPERCONTIG,.,95.09,163,838,716,8,0,28,190,,1,163,,2.00E-70,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L231_MERG00055_0101_SUPERCONTIG,L231_MERG00061_0101_SUPERCONTIG,.,95.67,231,920,707,10,0,203,433,,372,602,,1.00E-104,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L234_MERG00055_0101_SUPERCONTIG,L234_MERG00061_0101_SUPERCONTIG,.,95.01,601,703,839,29,1,240,839,,1,601,,0.0,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L310_MERG00055_0101_SUPERCONTIG,L310_MERG00061_0101_SUPERCONTIG,.,95.16,62,999,821,3,0,1,62,,104,165,,4.00E-22,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L362_MERG00055_0101_SUPERCONTIG,L362_MERG00061_0101_SUPERCONTIG,.,98.06,155,1423,853,3,0,358,512,,680,834,,7.00E-74,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L377_MERG00055_0101_SUPERCONTIG,L377_MERG00061_0101_SUPERCONTIG,.,96.00,200,4640,2027,8,0,3,202,,194,393,,1.00E-89,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L377_MERG00055_0101_SUPERCONTIG,L377_MERG00061_0101_SUPERCONTIG,.,96.00,200,4640,2027,8,0,3,202,,2514,2713,,1.00E-89,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L411_MERG00055_0101_SUPERCONTIG,L411_MERG00061_0101_SUPERCONTIG,.,97.33,75,867,730,2,0,3,77,,396,470,,3.00E-31,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L421_MERG00055_0101_SUPERCONTIG,L421_MERG00061_0101_SUPERCONTIG,.,97.84,509,939,739,11,0,231,739,,409,917,,0.0,withinloci
6,Acanthochalcis,Cratocentrus,,I23977,I23233,L422_MERG00055_0101_SUPERCONTIG,L422_MERG00061_0101_SUPERCONTIG,.,97.49,517,1138,792,13,0,24,540,,249,765,,0.0,withinloci
